角色信息: 熔岩球_lv5_toolFalse,,,,,,,,,,,,,,,,,,,,,
"等级: 5, havetool: False",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level0,1,0.401,0.177,0.076,0.042,0.034,0.033,0.031,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
aimming_level1,0,0.599,0.469,0.309,0.137,0.06,0.023,0.005,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0
aimming_level2,0,0,0.354,0.409,0.388,0.218,0.106,0.056,0.026,0.009,0.004,0.001,0,0,0,0,0,0,0,0,0
aimming_level3,0,0,0,0.206,0.305,0.384,0.288,0.151,0.086,0.049,0.022,0.009,0.003,0,0,0,0,0,0,0,0
aimming_level4,0,0,0,0,0.128,0.227,0.341,0.329,0.201,0.115,0.072,0.041,0.022,0.007,0,0,0,0,0,0,0
aimming_level5,0,0,0,0,0,0.077,0.164,0.283,0.322,0.242,0.146,0.086,0.05,0.034,0.017,0.003,0.001,0,0,0,0
aimming_level6,0,0,0,0,0,0,0.045,0.114,0.234,0.297,0.263,0.175,0.117,0.074,0.043,0.029,0.01,0.005,0,0,0
aimming_level7,0,0,0,0,0,0,0,0.031,0.082,0.192,0.262,0.28,0.189,0.136,0.099,0.06,0.034,0.014,0.007,0.006,0.001
aimming_level8,0,0,0,0,0,0,0,0,0.017,0.053,0.16,0.229,0.282,0.211,0.152,0.114,0.085,0.049,0.024,0.009,0.008
aimming_level9,0,0,0,0,0,0,0,0,0,0.012,0.036,0.121,0.199,0.258,0.235,0.191,0.139,0.095,0.065,0.032,0.013
aimming_level10,0,0,0,0,0,0,0,0,0,0,0.005,0.026,0.09,0.175,0.23,0.225,0.19,0.17,0.122,0.094,0.046
aimming_level11,0,0,0,0,0,0,0,0,0,0,0,0.002,0.016,0.066,0.137,0.19,0.217,0.192,0.179,0.13,0.114
aimming_level12,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.007,0.052,0.115,0.174,0.209,0.189,0.183,0.141
aimming_level13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0.038,0.091,0.146,0.191,0.184,0.185
aimming_level14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0.025,0.068,0.126,0.17,0.172
aimming_level15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.004,0.019,0.049,0.107,0.161
aimming_level16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.015,0.042,0.084
aimming_level17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.011,0.033
aimming_level18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.012
,,,,,,,,,,,,,,,,,,,,,
角色信息: 熔岩球_lv5_toolTrue,,,,,,,,,,,,,,,,,,,,,
"等级: 5, havetool: True",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level1,1,0.423,0.19,0.056,0.014,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aimming_level2,0,0.577,0.489,0.359,0.185,0.069,0.027,0.007,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
aimming_level3,0,0,0.321,0.39,0.365,0.242,0.13,0.05,0.016,0.005,0.004,0,0,0,0,0,0,0,0,0,0
aimming_level4,0,0,0,0.195,0.319,0.381,0.292,0.195,0.096,0.037,0.013,0.011,0.003,0,0,0,0,0,0,0,0
aimming_level5,0,0,0,0,0.117,0.224,0.353,0.316,0.247,0.14,0.074,0.025,0.017,0.007,0.003,0.001,0,0,0,0,0
aimming_level6,0,0,0,0,0,0.08,0.151,0.309,0.312,0.28,0.184,0.116,0.053,0.026,0.011,0.005,0.003,0.003,0.001,0,0
aimming_level7,0,0,0,0,0,0,0.047,0.094,0.244,0.292,0.281,0.202,0.138,0.084,0.05,0.024,0.008,0.003,0.002,0.001,0
aimming_level8,0,0,0,0,0,0,0,0.029,0.063,0.19,0.255,0.292,0.231,0.158,0.1,0.061,0.039,0.021,0.006,0.005,0.003
aimming_level9,0,0,0,0,0,0,0,0,0.02,0.043,0.153,0.215,0.266,0.248,0.193,0.134,0.085,0.05,0.032,0.012,0.005
aimming_level10,0,0,0,0,0,0,0,0,0,0.011,0.031,0.115,0.188,0.243,0.237,0.214,0.155,0.11,0.062,0.043,0.024
aimming_level11,0,0,0,0,0,0,0,0,0,0,0.005,0.023,0.09,0.152,0.215,0.216,0.224,0.175,0.133,0.084,0.055
aimming_level12,0,0,0,0,0,0,0,0,0,0,0,0.001,0.013,0.073,0.127,0.195,0.204,0.218,0.195,0.147,0.103
aimming_level13,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.008,0.057,0.1,0.16,0.182,0.194,0.185,0.15
aimming_level14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.006,0.046,0.086,0.144,0.177,0.202,0.196
aimming_level15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0.034,0.064,0.126,0.162,0.183
aimming_level16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.028,0.047,0.106,0.151
aimming_level17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.023,0.036,0.087
aimming_level18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.017,0.027
aimming_level19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016
,,,,,,,,,,,,,,,,,,,,,
角色信息: 熔岩球_lv18_toolFalse,,,,,,,,,,,,,,,,,,,,,
"等级: 18, havetool: False",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level0,1,0.641,0.407,0.267,0.231,0.223,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222
aimming_level1,0,0.359,0.485,0.456,0.212,0.081,0.029,0.012,0.003,0,0,0,0,0,0,0,0,0,0,0,0
aimming_level2,0,0,0.108,0.239,0.449,0.308,0.153,0.059,0.025,0.011,0.003,0.001,0,0,0,0,0,0,0,0,0
aimming_level3,0,0,0,0.038,0.095,0.339,0.313,0.198,0.096,0.045,0.023,0.007,0.005,0,0,0,0,0,0,0,0
