,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha
aimming_level1,1.0000,0.7820,0.5990,0.1990,0.0440,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
aimming_level2,0.0000,0.2180,0.3680,0.7210,0.4850,0.2300,0.0620,0.0150,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
aimming_level3,0.0000,0.0000,0.0330,0.0760,0.4650,0.5640,0.4900,0.2790,0.1090,0.0410,0.0060,0.0030,0.0000,0.0000,0.0000,0.0000
aimming_level4,0.0000,0.0000,0.0000,0.0040,0.0050,0.2000,0.3980,0.5400,0.5130,0.3580,0.1890,0.0730,0.0260,0.0060,0.0010,0.0000
aimming_level5,0.0000,0.0000,0.0000,0.0000,0.0010,0.0010,0.0500,0.1570,0.3350,0.4760,0.5460,0.4700,0.3010,0.1660,0.0730,0.0180
aimming_level6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0090,0.0380,0.1220,0.2380,0.3890,0.5030,0.5000,0.4130,0.2850
aimming_level7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0030,0.0210,0.0620,0.1570,0.2860,0.4080,0.4990
aimming_level8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0030,0.0130,0.0400,0.1020,0.1790
aimming_level9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0030,0.0180
aimming_level10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010
