,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha
aimming_level0,1.0000,0.4330,0.1820,0.0630,0.0330,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270,0.0270
aimming_level1,0.0000,0.5670,0.5850,0.4270,0.1940,0.0520,0.0100,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
aimming_level2,0.0000,0.0000,0.2330,0.4430,0.5660,0.4230,0.2210,0.0730,0.0140,0.0020,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000
aimming_level3,0.0000,0.0000,0.0000,0.0670,0.1980,0.4480,0.5410,0.4670,0.2790,0.1380,0.0420,0.0110,0.0020,0.0000,0.0000,0.0000
aimming_level4,0.0000,0.0000,0.0000,0.0000,0.0090,0.0490,0.1940,0.3820,0.5040,0.4670,0.3760,0.2220,0.0890,0.0340,0.0070,0.0010
aimming_level5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0070,0.0500,0.1700,0.3310,0.4400,0.4870,0.4330,0.2810,0.1640,0.0700
aimming_level6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0350,0.1070,0.2300,0.3780,0.4760,0.4570,0.3900
aimming_level7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0070,0.0220,0.0680,0.1730,0.3040,0.4170
aimming_level8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0030,0.0090,0.0410,0.0900
aimming_level9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050
